Sport,Gender,Event,Medal,Team
Shooting,M,300m Free Rifle Standing,BRONZE,Belgium
Shooting,M,"300m Free Rifle, 3 Positions",GOLD,Switzerland
Shooting,M,"300m Free Rifle, 3 Positions",SILVER,Denmark
Shooting,M,"300m Free Rifle, 3 Positions",BRONZE,Belgium
Shooting,M,"300m Free Rifle, 3 Positions",BRONZE,Norway
Shooting,M,"300m Free Rifle, 3 Positions Team",GOLD,Switzerland
Shooting,M,"300m Free Rifle, 3 Positions Team",SILVER,Norway
Shooting,M,"300m Free Rifle, 3 Positions Team",BRONZE,France
Shooting,M,Trap,GOLD,France
Shooting,M,Trap,SILVER,France
Shooting,M,Trap,BRONZE,France
Swimming,M,200m Freestyle,GOLD,Australia
Swimming,M,200m Freestyle,SILVER,Hungary
Swimming,M,200m Freestyle,BRONZE,Austria
Swimming,M,1000m Freestyle,GOLD,Great Britain
Swimming,M,1000m Freestyle,SILVER,Austria
Swimming,M,1000m Freestyle,BRONZE,Hungary
Swimming,M,4000m Freestyle,GOLD,Great Britain
Swimming,M,4000m Freestyle,SILVER,Hungary
Swimming,M,4000m Freestyle,BRONZE,France
Swimming,M,200m Backstroke,GOLD,Germany
Swimming,M,200m Backstroke,SILVER,Austria
Swimming,M,200m Backstroke,BRONZE,Netherlands
Swimming,M,200m Team Swimming,GOLD,Germany
Swimming,M,200m Team Swimming,SILVER,France
Swimming,M,200m Team Swimming,BRONZE,France
Swimming,M,Obstacle Race,GOLD,Australia
Swimming,M,Obstacle Race,SILVER,Austria
Swimming,M,Obstacle Race,BRONZE,Great Britain
Swimming,M,Underwater Swimming,GOLD,France
Swimming,M,Underwater Swimming,SILVER,France
Swimming,M,Underwater Swimming,BRONZE,Denmark
Tennis,M,Singles,SILVER,Great Britain
Tennis,M,Singles,BRONZE,Great Britain
Tennis,F,Singles,GOLD,Great Britain
Tennis,F,Singles,SILVER,France
Tennis,F,Singles,BRONZE,United States
Tennis,F,Singles,BRONZE,Bohemia
Tennis,M,Doubles,SILVER,France
Tennis,M,Doubles,SILVER,United States
Tennis,M,Doubles,BRONZE,France
Tennis,M,Mixed Doubles,GOLD,Great Britain
Tennis,F,Mixed Doubles,GOLD,Great Britain
Tennis,M,Mixed Doubles,SILVER,Great Britain
Tennis,F,Mixed Doubles,SILVER,France
Tennis,M,Mixed Doubles,BRONZE,Great Britain
Tennis,F,Mixed Doubles,BRONZE,Bohemia
Tennis,F,Mixed Doubles,BRONZE,United States
Tug Of War,M,Tug of War,GOLD,Denmark
Tug Of War,M,Tug of War,GOLD,Sweden
Tug Of War,M,Tug of War,SILVER,France
Water Polo,M,Team,GOLD,Great Britain
Water Polo,M,Team,SILVER,Belgium
Water Polo,M,Team,BRONZE,France
Archery,M,Double American Round,GOLD,United States
Archery,M,Double American Round,SILVER,United States
Archery,M,Double American Round,BRONZE,United States
Archery,F,Double Colombia Round,GOLD,United States
Archery,F,Double Colombia Round,SILVER,United States
Archery,F,Double Colombia Round,BRONZE,United States
Archery,F,Double National Round,GOLD,United States
Archery,F,Double National Round,SILVER,United States
Archery,F,Double National Round,BRONZE,United States
Archery,M,Double York Round,GOLD,United States
Archery,M,Double York Round,SILVER,United States
Archery,M,Double York Round,BRONZE,United States
Archery,M,Team Round,GOLD,United States
Archery,M,Team Round,SILVER,United States
Archery,M,Team Round,BRONZE,United States
Archery,F,Team Round,GOLD,United States
Archery,F,Team Round,SILVER,United States
Athletics,M,60m,BRONZE,United States
Athletics,M,200m,SILVER,United States
Athletics,M,200m,BRONZE,United States
Athletics,M,400m,BRONZE,United States
Athletics,M,800m,GOLD,United States
Athletics,M,1500m,GOLD,United States
Athletics,M,2590m Steeplechase,GOLD,United States
Athletics,M,2590m Steeplechase,SILVER,Great Britain
Athletics,M,2590m Steeplechase,BRONZE,United States
Athletics,M,Marathon,GOLD,United States
Athletics,M,Marathon,SILVER,United States
Athletics,M,Marathon,BRONZE,United States
Athletics,M,200m Hurdles,SILVER,United States
Athletics,M,400m Hurdles,SILVER,United States
Athletics,M,400m Hurdles,BRONZE,United States
Athletics,M,4-Mile Team Race,GOLD,United States
Athletics,M,4-Mile Team Race,SILVER,United States
Athletics,M,4-Mile Team Race,SILVER,France
Athletics,M,High Jump,BRONZE,Germany
Athletics,M,Standing Long Jump,BRONZE,United States
Athletics,M,Pole Vault,BRONZE,United States
Athletics,M,56-Pound Weight Throw,GOLD,Canada
Athletics,M,56-Pound Weight Throw,SILVER,United States
Athletics,M,56-Pound Weight Throw,BRONZE,United States
Athletics,M,Discus Throw,SILVER,United States
Athletics,M,Triathlon,GOLD,United States
Athletics,M,Triathlon,SILVER,United States
Athletics,M,Triathlon,BRONZE,United States
Athletics,M,Decathlon,GOLD,Great Britain
Athletics,M,Decathlon,SILVER,United States
Athletics,M,Decathlon,BRONZE,United States
Boxing,M,Flyweight,GOLD,United States
Boxing,M,Flyweight,SILVER,United States
Boxing,M,Bantamweight,GOLD,United States
Boxing,M,Bantamweight,SILVER,United States
Boxing,M,Featherweight,GOLD,United States
Boxing,M,Featherweight,SILVER,United States
Boxing,M,Featherweight,BRONZE,United States
Boxing,M,Lightweight,GOLD,United States
Boxing,M,Lightweight,SILVER,United States
Boxing,M,Lightweight,BRONZE,United States
Boxing,M,Welterweight,GOLD,United States
Boxing,M,Welterweight,SILVER,United States
Boxing,M,Welterweight,BRONZE,United States
Boxing,M,Middleweight,GOLD,United States
Boxing,M,Middleweight,SILVER,United States
Boxing,M,Heavyweight,GOLD,United States
Boxing,M,Heavyweight,SILVER,United States
Boxing,M,Heavyweight,BRONZE,United States
Cycling,M,_ Mile,GOLD,United States
Cycling,M,_ Mile,SILVER,United States
Cycling,M,_ Mile,BRONZE,United States
Cycling,M,1 Mile,GOLD,United States
Cycling,M,1 Mile,SILVER,United States
Cycling,M,1 Mile,BRONZE,United States
Cycling,M,2 Miles,GOLD,United States
Cycling,M,2 Miles,SILVER,United States
Cycling,M,2 Miles,BRONZE,United States
Cycling,M,25 Miles,GOLD,United States
Cycling,M,25 Miles,SILVER,United States
Cycling,M,25 Miles,BRONZE,United States
Cycling,M,5 Miles,GOLD,United States
Cycling,M,5 Miles,SILVER,United States
Cycling,M,5 Miles,BRONZE,United States
Diving,M,Platform,GOLD,United States
Diving,M,Platform,SILVER,Germany
Diving,M,Platform,BRONZE,United States
Diving,M,Platform,BRONZE,Germany
Diving,M,Plunge for Distance,GOLD,United States
Diving,M,Plunge for Distance,SILVER,United States
Diving,M,Plunge for Distance,BRONZE,United States
Fencing,M,"Foil, Individual",GOLD,Cuba
Fencing,M,"Foil, Individual",SILVER,Cuba
Fencing,M,"Foil, Individual",BRONZE,Cuba
Fencing,M,"Foil, Team",GOLD,Cuba
Fencing,M,"Foil, Team",GOLD,United States
Fencing,M,"Foil, Team",SILVER,United States
Fencing,M,"Épée, Individual",SILVER,Cuba
Fencing,M,"Épée, Individual",BRONZE,Cuba
Fencing,M,"Sabre, Individual",GOLD,Cuba
Fencing,M,"Sabre, Individual",SILVER,United States
Fencing,M,"Sabre, Individual",BRONZE,United States
Fencing,M,Single Sticks,GOLD,United States
Fencing,M,Single Sticks,SILVER,United States
Fencing,M,Single Sticks,BRONZE,United States
Football,M,Team Soccer,GOLD,Canada
Football,M,Team Soccer,SILVER,United States
Football,M,Team Soccer,BRONZE,United States
Golf,M,"Golf, Individual",GOLD,Canada
Golf,M,"Golf, Individual",SILVER,United States
Golf,M,"Golf, Individual",BRONZE,United States
Golf,M,Golf Team,GOLD,United States
Golf,M,Golf Team,SILVER,United States
Golf,M,Golf Team,BRONZE,United States
Gymnastics,M,Individual All-around,GOLD,Austria
Gymnastics,M,Individual All-around,SILVER,Germany
Gymnastics,M,Individual All-around,BRONZE,Switzerland
Gymnastics,M,All-around Field Sports,GOLD,United States
Gymnastics,M,All-around Field Sports,SILVER,United States
Gymnastics,M,All-around Field Sports,BRONZE,United States
Gymnastics,M,Combined Competition (4 events),GOLD,United States
Gymnastics,M,Combined Competition (4 events),SILVER,United States
Gymnastics,M,Combined Competition (4 events),BRONZE,United States
Gymnastics,M,Combined Competition (3 events),GOLD,Switzerland
Gymnastics,M,Combined Competition (3 events),SILVER,Austria
Gymnastics,M,Combined Competition (3 events),BRONZE,Germany
