Sport,Gender,Event,Athlete,Medal,Team
,,,,,
Water Polo,M,Team,Fabio Bencivenga,BRONZE,Italy
,,,,,
Water Polo,M,Team,Alessandro Bovo,BRONZE,Italy
,,,,,
Water Polo,M,Team,Carlo Silipo,BRONZE,Italy
,,,,,
Water Polo,M,Team,Leonardo Sottani,BRONZE,Italy
,,,,,
Water Polo,M,Team,Amedeo Pomilio,BRONZE,Italy
,,,,,
Water Polo,M,Team,Francesco Postiglione,BRONZE,Italy
,,,,,
Weightlifting,M,Flyweight,Halil Mutlu,GOLD,Turkey
,,,,,
Weightlifting,M,Flyweight,Xiangsen Zhang,SILVER,China
,,,,,
Weightlifting,M,Flyweight,Sefdalin Minchev,BRONZE,Bulgaria
,,,,,
Weightlifting,M,Bantamweight,Lingsheng Tang,GOLD,China
,,,,,
Weightlifting,M,Bantamweight,Leonidas Sampanis,SILVER,Greece
,,,,,
Weightlifting,M,Bantamweight,Nikolay Peshalov,BRONZE,Bulgaria
,,,,,
Weightlifting,M,Featherweight,Naim Süleymanoglu,GOLD,Turkey
,,,,,
Weightlifting,M,Featherweight,Valerios Leonidis,SILVER,Greece
,,,,,
Weightlifting,M,Featherweight,Xiao Jiangang,BRONZE,China
,,,,,
Weightlifting,M,Lightweight,Xugang Zhan,GOLD,China
,,,,,
Weightlifting,M,Lightweight,Myong-Nam Kim,SILVER,North Korea
,,,,,
Weightlifting,M,Lightweight,Attila Feri,BRONZE,Hungary
,,,,,
Weightlifting,M,Middleweight,Pablo Lara,GOLD,Cuba
,,,,,
Weightlifting,M,Middleweight,Yoto Yotov,SILVER,Bulgaria
,,,,,
Weightlifting,M,Middleweight,Chol-Ho Jon,BRONZE,North Korea
,,,,,
Weightlifting,M,Light Heavyweight,Pyrros Dimas,GOLD,Greece
,,,,,
Weightlifting,M,Light Heavyweight,Marc Huster,SILVER,Germany
,,,,,
Weightlifting,M,Light Heavyweight,Andrzej Cofalik,BRONZE,Poland
,,,,,
Weightlifting,M,Middle Heavyweight,Aleksey Petrov,GOLD,Russia
,,,,,
Weightlifting,M,Middle Heavyweight,Leonidas Kokas,SILVER,Greece
,,,,,
Weightlifting,M,Middle Heavyweight,Oliver Caruso,BRONZE,Germany
,,,,,
Weightlifting,M,Heavyweight,Akakide Kakhiashvilis,GOLD,Greece
,,,,,
Weightlifting,M,Heavyweight,Anatoly Khrapaty,SILVER,Kazakhstan
,,,,,
Weightlifting,M,Heavyweight,Denis Gotfrid,BRONZE,Great Britain
,,,,,
Weightlifting,M,Heavyweight II,Timur Taymazov,GOLD,Ukraine
,,,,,
Weightlifting,M,Heavyweight II,Sergey Syrtsov,SILVER,Russia
,,,,,
Weightlifting,M,Heavyweight II,Nicu Vlad,BRONZE,Romania
,,,,,
Weightlifting,M,Super Heavyweight,Andrey Chemerkin,GOLD,Russia
,,,,,
Weightlifting,M,Super Heavyweight,Ronny Weller,SILVER,Germany
,,,,,
Weightlifting,M,Super Heavyweight,Stefan Botev,BRONZE,Australia
,,,,,
Wrestling,M,Freestyle Light Flyweight,Il Kim,GOLD,North Korea
,,,,,
Wrestling,M,Freestyle Light Flyweight,Armen Mkertchian,SILVER,Armenia
,,,,,
Wrestling,M,Freestyle Light Flyweight,Alexis Vila,BRONZE,Cuba
,,,,,
Wrestling,M,Freestyle Flyweight,Valentin Dimitrov Jordanov,GOLD,Bulgaria
,,,,,
Wrestling,M,Freestyle Flyweight,Namik Abdullayev,SILVER,Azerbaijan
,,,,,
Wrestling,M,Freestyle Flyweight,Maulen Mamyrov,BRONZE,Kazakhstan
,,,,,
Wrestling,M,Freestyle Bantamweight,Kendall Cross,GOLD,United States
,,,,,
Wrestling,M,Freestyle Bantamweight,Giya Sissaouri,SILVER,Canada
,,,,,
Wrestling,M,Freestyle Bantamweight,Yong-Sam Ri,BRONZE,North Korea
,,,,,
Wrestling,M,Freestyle Featherweight,Tom Brands,GOLD,United States
,,,,,
Wrestling,M,Freestyle Featherweight,Jae-Sung Jang,SILVER,South Korea
,,,,,
Wrestling,M,Freestyle Featherweight,Elbrus Tedeyev,BRONZE,Ukraine
,,,,,
Wrestling,M,Freestyle Lightweight,Vadim Bogiyev,GOLD,Russia
,,,,,
Wrestling,M,Freestyle Lightweight,Townsend Saunders,SILVER,United States
,,,,,
Wrestling,M,Freestyle Lightweight,Zaza Zazirov,BRONZE,Ukraine
,,,,,
Wrestling,M,Freestyle Welterweight,Buvaysa Saytyev,GOLD,Russia
,,,,,
Wrestling,M,Freestyle Welterweight,Jang-Soon Park,SILVER,South Korea
,,,,,
Wrestling,M,Freestyle Welterweight,Takuya Ota,BRONZE,Japan
,,,,,
Wrestling,M,Freestyle Middleweight,Khadzhimurad Magomedov,GOLD,Russia
,,,,,
Wrestling,M,Freestyle Middleweight,Hyun-Mo Yang,SILVER,South Korea
,,,,,
Wrestling,M,Freestyle Middleweight,Amir Reza Khadem Azghadi,BRONZE,Iran
,,,,,
Wrestling,M,Freestyle Light Heavyweight,Rasull Azghadi Khadem,GOLD,Iran
,,,,,
Wrestling,M,Freestyle Light Heavyweight,Makharbek Khadartsev,SILVER,Russia
,,,,,
Wrestling,M,Freestyle Light Heavyweight,Eldari Kurtanidze,BRONZE,Georgia
,,,,,
Wrestling,M,Freestyle Heavyweight,Kurt Angle,GOLD,United States
,,,,,
Wrestling,M,Freestyle Heavyweight,Abbas Jadidi,SILVER,Iran
,,,,,
Wrestling,M,Freestyle Heavyweight,Arawat Sabejew,BRONZE,Germany
,,,,,
Wrestling,M,Freestyle Super Heavyweight,Mahmut Demir,GOLD,Turkey
,,,,,
Wrestling,M,Freestyle Super Heavyweight,Aleksey Medvedev,SILVER,Belarus
,,,,,
Wrestling,M,Freestyle Super Heavyweight,Bruce Baumgartner,BRONZE,United States
,,,,,
Wrestling,M,Greco-Roman Light Flyweight,Kwon-Ho Sim,GOLD,South Korea
,,,,,
Wrestling,M,Greco-Roman Light Flyweight,Alexander Pavlov,SILVER,Belarus
,,,,,
Wrestling,M,Greco-Roman Light Flyweight,Zafar Guliev,BRONZE,Russia
,,,,,
Wrestling,M,Greco-Roman Flyweight,Armen Nazaryan,GOLD,Armenia
,,,,,
Wrestling,M,Greco-Roman Flyweight,Brandon Paulson,SILVER,United States
,,,,,
Wrestling,M,Greco-Roman Flyweight,Andriy Kalashniroz,BRONZE,Ukraine
,,,,,
Wrestling,M,Greco-Roman Bantamweight,Yuriy Melnichenko,GOLD,Kazakhstan
,,,,,
Wrestling,M,Greco-Roman Bantamweight,Dennis Hall,SILVER,United States
,,,,,
Wrestling,M,Greco-Roman Bantamweight,Zetian Sheng,BRONZE,China
,,,,,
Wrestling,M,Greco-Roman Featherweight,Wlodzimierz Zawadzki,GOLD,Poland
,,,,,
Wrestling,M,Greco-Roman Featherweight,Juan Marén,SILVER,Cuba
,,,,,
Wrestling,M,Greco-Roman Featherweight,Akif Pirim,BRONZE,Turkey
,,,,,
Wrestling,M,Greco-Roman Lightweight,Ryszard Wolny,GOLD,Poland
,,,,,
Wrestling,M,Greco-Roman Lightweight,Ghani Yolouz,SILVER,France
,,,,,
Wrestling,M,Greco-Roman Lightweight,Aleksandr Tretyakov,BRONZE,Russia
,,,,,
Wrestling,M,Greco-Roman Welterweight,Feliberto Ascuy,GOLD,Cuba
,,,,,
Wrestling,M,Greco-Roman Welterweight,Marko Asell,SILVER,Finland
,,,,,
Wrestling,M,Greco-Roman Welterweight,Józef Tracz,BRONZE,Poland
,,,,,
Wrestling,M,Greco-Roman Middleweight,Hamza Yerlikaya,GOLD,Turkey
,,,,,
Wrestling,M,Greco-Roman Middleweight,Thomas Zander,SILVER,Germany
,,,,,
Wrestling,M,Greco-Roman Middleweight,Valery Tsilent,BRONZE,Belarus
,,,,,
Wrestling,M,Greco-Roman Light Heavyweight,Vyacheslav Oleynyk,GOLD,Ukraine
,,,,,
Wrestling,M,Greco-Roman Light Heavyweight,Jacek Fafinski,SILVER,Poland
,,,,,
Wrestling,M,Greco-Roman Light Heavyweight,Maik Bullmann,BRONZE,Germany
,,,,,
Wrestling,M,Greco-Roman Heavyweight,Andrzej Wronski,GOLD,Poland
,,,,,
Wrestling,M,Greco-Roman Heavyweight,Sergei Lishtvan,SILVER,Belarus
,,,,,
Wrestling,M,Greco-Roman Heavyweight,Mikael Ljungberg,BRONZE,Sweden
,,,,,
Wrestling,M,Greco-Roman Super Heavyweight,Aleksandr Karelin,GOLD,Russia
,,,,,
Wrestling,M,Greco-Roman Super Heavyweight,Matt Ghaffari,SILVER,United States
,,,,,
Wrestling,M,Greco-Roman Super Heavyweight,Sergei Mureiko,BRONZE,Moldova
,,,,,
Alpine Skiing,M,Downhill,Jean-Luc Cretier,GOLD,France
,,,,,
Alpine Skiing,M,Downhill,Lasse Kjus,SILVER,Norway
,,,,,
Alpine Skiing,M,Downhill,Hannes Trinkl,BRONZE,Austria
,,,,,
Alpine Skiing,F,Downhill,Katja Seizinger,GOLD,Germany
,,,,,
Alpine Skiing,F,Downhill,Pernilla Wiberg,SILVER,Sweden
,,,,,
Alpine Skiing,F,Downhill,Florence Masnada,BRONZE,France
,,,,,
Alpine Skiing,M,Super G,Hermann Maier,GOLD,Austria
,,,,,
Alpine Skiing,M,Super G,Hans Knauss,SILVER,Austria
,,,,,
Alpine Skiing,M,Super G,Didier Cuche,SILVER,Switzerland
,,,,,
Alpine Skiing,F,Super G,Picabo Street,GOLD,United States
,,,,,
Alpine Skiing,F,Super G,Michaela Dorfmeister,SILVER,Austria
,,,,,
Alpine Skiing,F,Super G,Alexandra Meißnitzer,BRONZE,Austria
,,,,,
Alpine Skiing,M,Giant Slalom,Hermann Maier,GOLD,Austria
,,,,,
Alpine Skiing,M,Giant Slalom,Stephan Eberharter,SILVER,Austria
,,,,,
Alpine Skiing,M,Giant Slalom,Michael von Grünigen,BRONZE,Switzerland
,,,,,
Alpine Skiing,F,Giant Slalom,Debbie Compagnoni,GOLD,Italy
,,,,,
Alpine Skiing,F,Giant Slalom,Alexandra Meißnitzer,SILVER,Austria
,,,,,
Alpine Skiing,F,Giant Slalom,Katja Seizinger,BRONZE,Germany
,,,,,
Alpine Skiing,M,Slalom,Hans-Petter Buraas,GOLD,Norway
,,,,,
Alpine Skiing,M,Slalom,Ole Christian Furuseth,SILVER,Norway
,,,,,
Alpine Skiing,M,Slalom,Thomas Sykora,BRONZE,Austria
,,,,,
Alpine Skiing,F,Slalom,Hilde Gerg,GOLD,Germany
,,,,,
Alpine Skiing,F,Slalom,Debbie Compagnoni,SILVER,Italy
,,,,,
Alpine Skiing,F,Slalom,Zali Steggall,BRONZE,Australia
,,,,,
Alpine Skiing,M,Combined,Mario Reiter,GOLD,Austria
,,,,,
Alpine Skiing,M,Combined,Lasse Kjus,SILVER,Norway
,,,,,
Alpine Skiing,M,Combined,Christian Mayer,BRONZE,Austria
,,,,,
Alpine Skiing,F,Combined,Katja Seizinger,GOLD,Germany
,,,,,
Alpine Skiing,F,Combined,Martina Ertl,SILVER,Germany
,,,,,
Alpine Skiing,F,Combined,Hilde Gerg,BRONZE,Germany
,,,,,
Biathlon,F,7.5Km Sprint,Galina Koukleva,GOLD,Russia
,,,,,
Biathlon,F,7.5Km Sprint,Uschi Disl,SILVER,Germany
,,,,,
Biathlon,F,7.5Km Sprint,Katrin Apel,BRONZE,Germany
,,,,,
Biathlon,M,10km Biathlon,Ole Einar Bjørndalen,GOLD,Norway
,,,,,
Biathlon,M,10km Biathlon,Frode Andresen,SILVER,Norway
,,,,,
Biathlon,M,10km Biathlon,Ville Raikkonen,BRONZE,Finland
,,,,,
Biathlon,F,15km Individual,Ekaterina Dafovska,GOLD,Bulgaria
,,,,,
Biathlon,F,15km Individual,Elena Petrova,SILVER,Ukraine
,,,,,
Biathlon,F,15km Individual,Uschi Disl,BRONZE,Germany
,,,,,
Biathlon,M,20km Individual,Halvard Hanevold,GOLD,Norway
,,,,,
Biathlon,M,20km Individual,Pier Alberto Carrara,SILVER,Italy
,,,,,
Biathlon,M,20km Individual,Aleksei Aidarov,BRONZE,Belarus
,,,,,
Biathlon,M,4x7.5km Relay,Peter Sendel,GOLD,Germany
,,,,,
Biathlon,M,4x7.5km Relay,Frank Luck,GOLD,Germany
,,,,,
Biathlon,M,4x7.5km Relay,Ricco Groß,GOLD,Germany
,,,,,
Biathlon,M,4x7.5km Relay,Sven Fischer,GOLD,Germany
,,,,,
Biathlon,M,4x7.5km Relay,Halvard Hanevold,SILVER,Norway
,,,,,
Biathlon,M,4x7.5km Relay,Ole Einar Bjørndalen,SILVER,Norway
,,,,,
Biathlon,M,4x7.5km Relay,Dag Bjørndalen,SILVER,Norway
,,,,,
Biathlon,M,4x7.5km Relay,Egil Gjelland,SILVER,Norway
,,,,,
Biathlon,M,4x7.5km Relay,Vladimir Dratshev,BRONZE,Russia
,,,,,
Biathlon,M,4x7.5km Relay,Viktor Maigourov,BRONZE,Russia
,,,,,
Biathlon,M,4x7.5km Relay,Pavel Mouslimov,BRONZE,Russia
,,,,,
Biathlon,M,4x7.5km Relay,Sergej Tarasov,BRONZE,Russia
,,,,,
Biathlon,F,4x7.5km Relay,Uschi Disl,GOLD,Germany
,,,,,
Biathlon,F,4x7.5km Relay,Katrin Apel,GOLD,Germany
,,,,,
Biathlon,F,4x7.5km Relay,Petra Behle-Schaaf,GOLD,Germany
,,,,,
Biathlon,F,4x7.5km Relay,Martina Zellner,GOLD,Germany
,,,,,
Biathlon,F,4x7.5km Relay,Galina Koukleva,SILVER,Russia
,,,,,
Biathlon,F,4x7.5km Relay,Albina Akhatova,SILVER,Russia
,,,,,
Biathlon,F,4x7.5km Relay,Olga Romasko,SILVER,Russia
,,,,,
Biathlon,F,4x7.5km Relay,Olga Melnik,SILVER,Russia
,,,,,
Biathlon,F,4x7.5km Relay,Gunn Margit Andreassen,BRONZE,Norway
,,,,,
Biathlon,F,4x7.5km Relay,Liv Grete Poiree,BRONZE,Norway
,,,,,
Biathlon,F,4x7.5km Relay,Annette Sikveland,BRONZE,Norway
,,,,,
Biathlon,F,4x7.5km Relay,Ann-Elen Skjelbreid,BRONZE,Norway
,,,,,
Bobsleigh,M,2-Man Bobsled,Pierre Fritz Lueders,GOLD,Canada
,,,,,
Bobsleigh,M,2-Man Bobsled,Dave MacEachern,GOLD,Canada
,,,,,
Bobsleigh,M,2-Man Bobsled,Antonio Tartaglia,GOLD,Italy
,,,,,
Bobsleigh,M,2-Man Bobsled,Günther Huber,GOLD,Italy
,,,,,
Bobsleigh,M,2-Man Bobsled,Christoph Langen,BRONZE,Germany
,,,,,
Bobsleigh,M,2-Man Bobsled,Markus Zimmermann,BRONZE,Germany
,,,,,
Bobsleigh,M,4-Man Bobsled,Markus Zimmermann,GOLD,Germany
,,,,,
Bobsleigh,M,4-Man Bobsled,Olaf Hampel,GOLD,Germany
,,,,,
Bobsleigh,M,4-Man Bobsled,Marco Jakobs,GOLD,Germany
,,,,,
Bobsleigh,M,4-Man Bobsled,Christoph Langen,GOLD,Germany
,,,,,
Bobsleigh,M,4-Man Bobsled,Markus Wasser,SILVER,Switzerland
,,,,,
Bobsleigh,M,4-Man Bobsled,Marcel Rohner,SILVER,Switzerland
,,,,,
Bobsleigh,M,4-Man Bobsled,Beat Seitz,SILVER,Switzerland
,,,,,
Bobsleigh,M,4-Man Bobsled,Markus Nüssli,SILVER,Switzerland
,,,,,
Bobsleigh,M,4-Man Bobsled,Bruno Mingeon,BRONZE,France
,,,,,
Bobsleigh,M,4-Man Bobsled,Max Robert,BRONZE,France
,,,,,
Bobsleigh,M,4-Man Bobsled,Emmanuel Hostache,BRONZE,France
,,,,,
Bobsleigh,M,4-Man Bobsled,Eric Le Chanony,BRONZE,France
,,,,,
Bobsleigh,M,4-Man Bobsled,Paul Attwood,BRONZE,Great Britain
,,,,,
Bobsleigh,M,4-Man Bobsled,Sean Olsson,BRONZE,Great Britain
,,,,,
Bobsleigh,M,4-Man Bobsled,Courtney Rumbolt,BRONZE,Great Britain
,,,,,
Bobsleigh,M,4-Man Bobsled,Dean Ward,BRONZE,Great Britain
,,,,,
Cross-Country Skiing,F,5km,Larissa Lasutina,GOLD,Russia
,,,,,
Cross-Country Skiing,F,5km,Katerina Neumannová,SILVER,Czech Republic
,,,,,
Cross-Country Skiing,F,5km,Bente Skari-Martinsen,BRONZE,Norway
,,,,,
Cross-Country Skiing,M,10km,Bjørn Dæhlie,GOLD,Norway
,,,,,
Cross-Country Skiing,M,10km,Markus Gandler,SILVER,Austria
,,,,,
Cross-Country Skiing,M,10km,Mika Myllylä,BRONZE,Finland
,,,,,
Cross-Country Skiing,F,15km,Olga Danilova,GOLD,Russia
,,,,,
Cross-Country Skiing,F,15km,Larissa Lasutina,SILVER,Russia
,,,,,
Cross-Country Skiing,F,15km,Anita Moen,BRONZE,Norway
,,,,,
Cross-Country Skiing,M,30km,Mika Myllylä,GOLD,Finland
,,,,,
Cross-Country Skiing,M,30km,Erling Jevne,SILVER,Norway
,,,,,
Cross-Country Skiing,M,30km,Silvio Fauner,BRONZE,Italy
,,,,,
Cross-Country Skiing,F,30km,Julija Tchepalova,GOLD,Russia
,,,,,
Cross-Country Skiing,F,30km,Stefania Belmondo,SILVER,Italy
,,,,,
Cross-Country Skiing,F,30km,Larissa Lasutina,BRONZE,Russia
,,,,,
Cross-Country Skiing,M,50km,Bjørn Dæhlie,GOLD,Norway
,,,,,
Cross-Country Skiing,M,50km,Niklas Jonsson,SILVER,Sweden
,,,,,
Cross-Country Skiing,M,50km,Christian Hoffmann,BRONZE,Austria
,,,,,
Cross-Country Skiing,F,5/10km Pursuit,Larissa Lasutina,GOLD,Russia
,,,,,
Cross-Country Skiing,F,5/10km Pursuit,Olga Danilova,SILVER,Russia
,,,,,
Cross-Country Skiing,F,5/10km Pursuit,Katerina Neumannová,BRONZE,Czech Republic
,,,,,
Cross-Country Skiing,M,10/15km Pursuit,Thomas Alsgård,GOLD,Norway
,,,,,
Cross-Country Skiing,M,10/15km Pursuit,Bjørn Dæhlie,SILVER,Norway
,,,,,
Cross-Country Skiing,M,10/15km Pursuit,Vladimir Smirnov,BRONZE,Kazakhstan
,,,,,
Cross-Country Skiing,F,4x5km Relay,Larissa Lasutina,GOLD,Russia
,,,,,
Cross-Country Skiing,F,4x5km Relay,Olga Danilova,GOLD,Russia
,,,,,
Cross-Country Skiing,F,4x5km Relay,Nina Gavrilyuk,GOLD,Russia
,,,,,
Cross-Country Skiing,F,4x5km Relay,Yelena Välbe,GOLD,Russia
,,,,,
Cross-Country Skiing,F,4x5km Relay,Anita Moen,SILVER,Norway
,,,,,
Cross-Country Skiing,F,4x5km Relay,Elin Nilsen,SILVER,Norway
,,,,,
Cross-Country Skiing,F,4x5km Relay,Bente Skari-Martinsen,SILVER,Norway
,,,,,
Cross-Country Skiing,F,4x5km Relay,Marit Mikkelsplass,SILVER,Norway
,,,,,
Cross-Country Skiing,F,4x5km Relay,Stefania Belmondo,BRONZE,Italy
,,,,,
Cross-Country Skiing,F,4x5km Relay,Manuela di Centa,BRONZE,Italy
,,,,,
Cross-Country Skiing,F,4x5km Relay,Karin Moroder,BRONZE,Italy
,,,,,
Cross-Country Skiing,F,4x5km Relay,Gabriella Paruzzi,BRONZE,Italy
,,,,,
Cross-Country Skiing,M,4x10km Relay,Bjørn Dæhlie,GOLD,Norway
,,,,,
Cross-Country Skiing,M,4x10km Relay,Thomas Alsgård,GOLD,Norway
,,,,,
Cross-Country Skiing,M,4x10km Relay,Erling Jevne,GOLD,Norway
,,,,,
Cross-Country Skiing,M,4x10km Relay,Sture Sivertsen,GOLD,Norway
,,,,,
Cross-Country Skiing,M,4x10km Relay,Silvio Fauner,SILVER,Italy
,,,,,
Cross-Country Skiing,M,4x10km Relay,Fulvio Valbusa,SILVER,Italy
,,,,,
Cross-Country Skiing,M,4x10km Relay,Fabio Maj,SILVER,Italy
,,,,,
Cross-Country Skiing,M,4x10km Relay,Marco Albarello,SILVER,Italy
,,,,,
Cross-Country Skiing,M,4x10km Relay,Mika Myllylä,BRONZE,Finland
,,,,,
Cross-Country Skiing,M,4x10km Relay,Harri Kirvesniemi,BRONZE,Finland
,,,,,
Cross-Country Skiing,M,4x10km Relay,Jari Isometsä,BRONZE,Finland
,,,,,
Cross-Country Skiing,M,4x10km Relay,Sami Repo,BRONZE,Finland
,,,,,
Curling,M,Curling,Diego Perren,GOLD,Switzerland
,,,,,
Curling,M,Curling,Patrik Lörtscher,GOLD,Switzerland
,,,,,
Curling,M,Curling,Daniel Müller,GOLD,Switzerland
,,,,,
Curling,M,Curling,Dominic Andres,GOLD,Switzerland
,,,,,
Curling,M,Curling,Patrick Hürlimann,GOLD,Switzerland
,,,,,
Curling,M,Curling,Paul Savage,SILVER,Canada
,,,,,
Curling,M,Curling,Collin Mitchell,SILVER,Canada
,,,,,
Curling,M,Curling,Mike Harris,SILVER,Canada
,,,,,
Curling,M,Curling,Richard Hart,SILVER,Canada
,,,,,
Curling,M,Curling,George Karrys,SILVER,Canada
,,,,,
Curling,M,Curling,Jan Thoresen,BRONZE,Norway
,,,,,
Curling,M,Curling,Tore Torvbraaten,BRONZE,Norway
,,,,,
Curling,M,Curling,Eigil Ramsfjell,BRONZE,Norway
,,,,,
Curling,M,Curling,Anthon Grimsmo,BRONZE,Norway
,,,,,
Curling,M,Curling,Stig-Arne Gunnestad,BRONZE,Norway
,,,,,
Curling,F,Curling,Jan Betker,GOLD,Canada
,,,,,
Curling,F,Curling,Atina Ford,GOLD,Canada
,,,,,
Curling,F,Curling,Marcia Gudereit,GOLD,Canada
,,,,,
Curling,F,Curling,Sandra Schmirler,GOLD,Canada
,,,,,
Curling,F,Curling,Joan McCusker,GOLD,Canada
,,,,,
Curling,F,Curling,Jane Bidstrup,SILVER,Denmark
,,,,,
Curling,F,Curling,Helena Blach-Lavrsen,SILVER,Denmark
,,,,,
Curling,F,Curling,Dorthe Holm,SILVER,Denmark
,,,,,
Curling,F,Curling,Margit Poertner,SILVER,Denmark
,,,,,
Curling,F,Curling,Trine Qvist,SILVER,Denmark
,,,,,
Curling,F,Curling,Elisabet Gustafson,BRONZE,Sweden
,,,,,
Curling,F,Curling,Margaretha Lindahl,BRONZE,Sweden
,,,,,
Curling,F,Curling,Louise Marmont,BRONZE,Sweden
,,,,,
Curling,F,Curling,Katarina Nyberg,BRONZE,Sweden
,,,,,
Curling,F,Curling,Elisabeth Persson,BRONZE,Sweden
,,,,,
Figure Skating,M,Individual,Ilia Kulik,GOLD,Russia
,,,,,
Figure Skating,M,Individual,Elvis Stojko,SILVER,Canada
,,,,,
Figure Skating,M,Individual,Philippe Candeloro,BRONZE,France
,,,,,
Figure Skating,F,Individual,Tara Lipinski,GOLD,United States
,,,,,
Figure Skating,F,Individual,Michelle Kwan,SILVER,United States
,,,,,
Figure Skating,F,Individual,Lu Chen,BRONZE,China
,,,,,
Figure Skating,M,Pairs,Artur Dmitriyev,GOLD,Russia
,,,,,
Figure Skating,F,Pairs,Oksana Kazakova,GOLD,Russia
,,,,,
Figure Skating,M,Pairs,Anton Sikharulidze,SILVER,Russia
,,,,,
Figure Skating,F,Pairs,Elena Berezhnaya,SILVER,Russia
,,,,,
Figure Skating,M,Pairs,Ingo Steuer,BRONZE,Germany
,,,,,
Figure Skating,F,Pairs,Mandy Wötzel,BRONZE,Germany
,,,,,
Figure Skating,M,Ice Dancing,Yevgeny Platov,GOLD,Russia
,,,,,
Figure Skating,F,Ice Dancing,Oksana Grichuk,GOLD,Russia
,,,,,
Figure Skating,M,Ice Dancing,Oleg Ovsyannikov,SILVER,Russia
,,,,,
Figure Skating,F,Ice Dancing,Anjelika Krylova,SILVER,Russia
,,,,,
Figure Skating,M,Ice Dancing,Gwendal Peizerat,BRONZE,France
,,,,,
Figure Skating,F,Ice Dancing,Marina Anissina,BRONZE,France
,,,,,
Freestyle Skiing,M,Aerials,Eric Bergoust,GOLD,United States
,,,,,
Freestyle Skiing,M,Aerials,Sebastien Foucras,SILVER,France
,,,,,
Freestyle Skiing,M,Aerials,Dmitri Dashchinsky,BRONZE,Belarus
,,,,,
Freestyle Skiing,F,Aerials,Nikki Stone,GOLD,United States
,,,,,
Freestyle Skiing,F,Aerials,Nannan Xu,SILVER,China
,,,,,
Freestyle Skiing,F,Aerials,Colette Brand,BRONZE,Switzerland
,,,,,
Freestyle Skiing,M,Moguls,Jonny Moseley,GOLD,United States
,,,,,
Freestyle Skiing,M,Moguls,Janne Lahtela,SILVER,Finland
,,,,,
Freestyle Skiing,M,Moguls,Sami Mustonen,BRONZE,Finland
,,,,,
Freestyle Skiing,F,Moguls,Tae Satoya,GOLD,Japan
,,,,,
Freestyle Skiing,F,Moguls,Tatjana Mittermayer,SILVER,Germany
,,,,,
Freestyle Skiing,F,Moguls,Kari Trå,BRONZE,Norway
,,,,,
Ice Hockey,M,Ice Hockey,Josef Beranek,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Jan Caloun,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Roman Cechmanek,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Jiri Dopita,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Roman Hamrlik,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Dominik Hasek,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Milan Hejduk,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Milan Hnilicka,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Jaromir Jagr,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Frantisek Kucera,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Robert Lang,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,David Moravec,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Pavel Patera,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Libor Prochazka,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Martin Prochazka,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Robert Reichel,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Vladimír Rozicka,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Martin Rucinsky,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Jirí Slégr,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Richard Smehlík,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Jaroslav Spacek,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Martin Straka,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Petr Svoboda,GOLD,Czech Republic
,,,,,
Ice Hockey,M,Ice Hockey,Serguei Nemtchinov,SILVER,Russia
,,,,,
Ice Hockey,M,Ice Hockey,Mikhail Shtalenkov,SILVER,Russia
,,,,,
Ice Hockey,M,Ice Hockey,Boris Mironov,SILVER,Russia
,,,,,
Ice Hockey,M,Ice Hockey,Dmitry Mironov,SILVER,Russia
,,,,,
Ice Hockey,M,Ice Hockey,Alexei Morozov,SILVER,Russia
,,,,,
Ice Hockey,M,Ice Hockey,Aleksey Gusarov,SILVER,Russia
,,,,,
Ice Hockey,M,Ice Hockey,Alexei Iachine,SILVER,Russia
,,,,,
Ice Hockey,M,Ice Hockey,Alexei Jamnov,SILVER,Russia
,,,,,
Ice Hockey,M,Ice Hockey,Valery Kamensky,SILVER,Russia
,,,,,
Ice Hockey,M,Ice Hockey,Darius Kasparaitis,SILVER,Russia
,,,,,
