Sport,Gender,Event,Athlete,Medal,Team
Athletics,M,200m Hurdles,Walter Tewksbury,BRONZE,United States
,,,,,
Athletics,M,400m Hurdles,Walter Tewksbury,GOLD,United States
,,,,,
Athletics,M,400m Hurdles,Henri Tauzin,SILVER,France
,,,,,
Athletics,M,400m Hurdles,George Orton,BRONZE,Canada
,,,,,
Athletics,M,5000m Team Race,Sidney Robinson,GOLD,Great Britain
,,,,,
Athletics,M,5000m Team Race,John Rimmer,GOLD,Great Britain
,,,,,
Athletics,M,5000m Team Race,Charles Bennett,GOLD,Great Britain
,,,,,
Athletics,M,5000m Team Race,Alfred Tysoe,GOLD,Great Britain
,,,,,
Athletics,M,5000m Team Race,Stan Rowley,GOLD,Australia
,,,,,
Athletics,M,5000m Team Race,Jacques Chastanié,SILVER,France
,,,,,
Athletics,M,5000m Team Race,André Castanet,SILVER,France
,,,,,
Athletics,M,5000m Team Race,Albert Champoudry,SILVER,France
,,,,,
Athletics,M,5000m Team Race,Henri Deloge,SILVER,France
,,,,,
Athletics,M,5000m Team Race,Gaston Ragueneau,SILVER,France
,,,,,
Athletics,M,High Jump,Irving Baxter,GOLD,United States
,,,,,
Athletics,M,High Jump,Patrick Leahy,SILVER,Great Britain
,,,,,
Athletics,M,High Jump,Lajos Gönczy,BRONZE,Hungary
,,,,,
Athletics,M,Standing High Jump,Ray Ewry,GOLD,United States
,,,,,
Athletics,M,Standing High Jump,Irving Baxter,SILVER,United States
,,,,,
Athletics,M,Standing High Jump,Lewis Sheldon,BRONZE,United States
,,,,,
Athletics,M,Long Jump,Alvin Kraenzlein,GOLD,United States
,,,,,
Athletics,M,Long Jump,Meyer Prinstein,SILVER,United States
,,,,,
Athletics,M,Long Jump,Patrick Leahy,BRONZE,Great Britain
,,,,,
Athletics,M,Standing Long Jump,Ray Ewry,GOLD,United States
,,,,,
Athletics,M,Standing Long Jump,Irving Baxter,SILVER,United States
,,,,,
Athletics,M,Standing Long Jump,Emile Torcheboeuf,BRONZE,France
,,,,,
Athletics,M,Pole Vault,Irving Baxter,GOLD,United States
,,,,,
Athletics,M,Pole Vault,Meredith Colkett,SILVER,United States
,,,,,
Athletics,M,Pole Vault,Flisa Andersen,BRONZE,Norway
,,,,,
Athletics,M,Triple Jump,Meyer Prinstein,GOLD,United States
,,,,,
