country,sport,men,women,total,men_percent,women_percent,gold,silver,bronze  ,total1
GREAT BRITAIN,Canoeing,5,7,12,41.66666667,58.33333333,2,2,0,4
GREAT BRITAIN,Cycling,16,10,26,61.53846154,38.46153846,6,4,2,12
GREAT BRITAIN,Diving,5,6,11,45.45454545,54.54545455,1,1,1,3
GREAT BRITAIN,Equestrian,7,5,12,58.33333333,41.66666667,0,0,0,0
GREAT BRITAIN,Fencing,3,0,3,100,0,0,0,0,0
GREAT BRITAIN,Field hockey,16,16,32,50,50,1,0,0,1
GREAT BRITAIN,Football (soccer),0,0,0,0,0,0,0,0,0
GREAT BRITAIN,Golf,2,2,4,50,50,1,0,0,1
GREAT BRITAIN,Gymnastics,6,7,13,46.15384615,53.84615385,2,2,3,7
GREAT BRITAIN,Handball,0,0,0,0,0,0,0,0,0
GREAT BRITAIN,Judo,3,4,7,42.85714286,57.14285714,0,0,1,1
GREAT BRITAIN,Modern pentathlon,2,2,4,50,50,0,0,0,0
GREAT BRITAIN,Rowing,28,15,43,65.11627907,34.88372093,3,2,0,5
GREAT BRITAIN,Rugby sevens,12,12,24,50,50,0,1,0,1
GREAT BRITAIN,Sailing,8,7,15,53.33333333,46.66666667,0,0,0,0
GREAT BRITAIN,Shooting,3,3,6,50,50,0,0,2,2
GREAT BRITAIN,Swimming,16,12,28,57.14285714,42.85714286,0,0,0,0
GREAT BRITAIN,Sync. swimming,0,2,2,0,100,0,0,0,0
GREAT BRITAIN,Table tennis,3,0,3,100,0,0,0,0,0
GREAT BRITAIN,Taekwondo,2,2,4,50,50,1,1,1,3
GREAT BRITAIN,Tennis,5,2,7,71.42857143,28.57142857,1,0,0,1
GREAT BRITAIN,Triathlon,3,3,6,50,50,1,1,1,3
GREAT BRITAIN,Volleyball,0,0,0,0,0,0,0,0,0
GREAT BRITAIN,Water polo,0,0,0,0,0,0,0,0,0
GREAT BRITAIN,Weightlifting,1,1,2,50,50,0,0,0,0
GREAT BRITAIN,Wrestling,0,0,0,0,0,0,0,0,0
RUSSIA,Archery,0,3,3,0,100,0,1,0,1
RUSSIA,Athletics,0,1,1,0,100,0,0,0,0
RUSSIA,Badminton,3,1,4,75,25,0,0,0,0
RUSSIA,Basketball,0,0,0,0,0,0,0,0,0
RUSSIA,Boxing,9,2,11,81.81818182,18.18181818,1,0,3,4
RUSSIA,Canoeing,10,1,11,90.90909091,9.090909091,0,0,1,1
RUSSIA,Cycling,7,4,11,63.63636364,36.36363636,0,2,1,3
RUSSIA,Diving,4,4,8,50,50,0,0,0,0
RUSSIA,Equestrian,2,3,5,40,60,0,0,0,0
RUSSIA,Fencing,8,8,16,50,50,4,1,2,7
RUSSIA,Field hockey,0,0,0,0,0,0,0,0,0
RUSSIA,Football (soccer),0,0,0,0,0,0,0,0,0
RUSSIA,Golf,0,1,1,0,100,0,0,0,0
RUSSIA,Gymnastics,7,13,20,35,65,3,5,3,11
RUSSIA,Handball,0,14,14,0,100,1,0,0,1
RUSSIA,Judo,7,5,12,58.33333333,41.66666667,2,0,1,3
RUSSIA,Modern pentathlon,1,2,3,33.33333333,66.66666667,1,0,0,1
RUSSIA,Rowing,4,0,4,100,0,0,0,0,0
RUSSIA,Rugby sevens,0,0,0,0,0,0,0,0,0
RUSSIA,Sailing,4,3,7,57.14285714,42.85714286,0,0,1,1
RUSSIA,Shooting,12,6,18,66.66666667,33.33333333,0,2,2,4
RUSSIA,Swimming,24,13,37,64.86486486,35.13513514,0,2,2,4
RUSSIA,Sync. swimming,0,9,9,0,100,2,0,0,2
